feature,importance_mean,importance_std
BCUTi-1h,0.003186571426252449,0.0012523246121667565
AXp-5dv,0.0029875420596122025,0.0013660311620361494
SlogP_VSA8,0.002678179650027812,0.0016119497737584862
TpiPC10,0.002457152117045003,0.0007597625212657416
MATS1are,0.0020894583456108284,0.001093521558274618
AATSC1se,0.00206033735503659,0.0010855729138447884
BCUTp-1l,0.0019356832478311548,0.0019864930101009468
BCUTare-1h,0.0019200925372693245,0.001041708566607277
piPC7,0.0017287993574042425,0.002012876330006383
AATSC1pe,0.001721835958225304,0.00040160943024387534
piPC9,0.0015906406174142963,0.0017565896521115948
GATS1Z,0.0015082391154307873,0.0012589415893145643
AXp-3dv,0.0014868734238120851,0.00046261871091170026
MATS1se,0.0007576967795171585,0.0006945063728209796
MATS1pe,0.000595336939446689,0.0009625894288123547
piPC10,0.0004566595037307275,0.0007665522539142389
BCUTv-1l,0.000219973134343876,0.0009237207673148572
NaaaC,0.00019830842118973013,0.000703998485656879
piPC6,2.8851734627166613e-05,0.0006051434358606219
GATS1m,2.167425769914466e-05,0.0018874984034861716
BCUTZ-1l,7.223257076516276e-06,0.001879849437902972
ATSC1are,-6.857662640125106e-06,0.0014443423234197451
ATSC1se,-0.0003085884651049087,0.001293657376471224
AATS3d,-0.0003678335136730659,0.0009597926121985242
AXp-4dv,-0.0005303505044029544,0.0007529873752380653
GATS1p,-0.0007362864286838633,0.0019953016647787686
AATSC1are,-0.0012736428667096567,0.0007252861897140237
piPC8,-0.0012738243786087678,0.0009653638794953504
piPC4,-0.0018690986963438628,0.0015655822546788505
ATSC1pe,-0.002066993046588439,0.001090621100144146
